"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x85c6d5cf453d898f19313a13d477b44ae79f059008789c42d2b7cd2c06c16a39","Error in Txn","Tx","Take","22213077","2025-04-06 23:14:11","0xeD96C177eB097d9C6B547116262391D36947eC81"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00045377"
"0x3c58dc8bb5289084b9993db0079b5856b013d7b2e12679184ec352ab28c996f2","Error in Txn","Tx","Take","22213031","2025-04-06 23:04:59","0x38538384547efDE883ed2B623CaD1EC9A6A92c72"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00051872"
"0x6259957248f73252e9a93109484900664bdfe793eb482e634f1724c6516890c3","Error in Txn","Tx","Take","22213030","2025-04-06 23:04:47","0xeD96C177eB097d9C6B547116262391D36947eC81"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00249385"
"0x4540e61145e57d0ff18ea580fc153451fe69466ca37f1365d64e8fad41807884","Success","Tx","Take","22213020","2025-04-06 23:02:47","0xF078969E55caBF9AE3f26afeB5EC627B4430f19E"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00654047"
"0x7cd565f246340f6a08e2bed223bf62ae2e1b412ab5e03be0401379fb2338abe4","Success","Tx","Take","22213017","2025-04-06 23:02:11","0x38538384547efDE883ed2B623CaD1EC9A6A92c72"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00042391"
"0x561cd257b5232b8567b0f557ac550d305dd15a8b7dfbb9771efd46b2f556dac1","Success","Tx","Take","22213017","2025-04-06 23:02:11","0x6b27a8AB1bf2F169F694C122CF0c5B0e832AB46a"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00109083"
"0xaf20eb542e7dfba49ca642981f1d42c3c8169c5edad7446c3d574c92b2115d92","Success","Tx","Take","22213015","2025-04-06 23:01:47","0xeD96C177eB097d9C6B547116262391D36947eC81"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00064605"
"0x8349308a1ca8f382b21ebb86b2886569dced9782d74f2acc1b34e64486ce7c82","Success","Tx","Take","22213012","2025-04-06 23:01:11","0xF078969E55caBF9AE3f26afeB5EC627B4430f19E"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00748099"
"0xb9fdec3529d743c633261b7aac216b61c398e0956ac3b0c5cfb513e2f20cde4d","Success","Tx","Take","22212789","2025-04-06 22:16:23","0xF078969E55caBF9AE3f26afeB5EC627B4430f19E"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00319485"
"0xa7f5c46248508e1977c08807cdc120b3f5e10b2a72a04eaf3c47765c14815385","Success","Tx","Take","22211917","2025-04-06 19:20:11","0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00877635"
"0xfef479849ccb95c47f12cffab305c563b78dbfdd136070f44d8234821ca09157","Error in Txn","Tx","Take","22188915","2025-04-03 14:15:23","0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00273283"
"0xcee41e40898a10309571f93328537308b28fe823b5219f8fed801eebd4152c86","Error in Txn","Tx","Take","22161749","2025-03-30 19:14:47","0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00002588"
"0xe434414ec415301e9707e942299b1394a6d86b6d62ccad9a49d65f87d0a5398f","Error in Txn","Tx","Take","22133410","2025-03-26 20:15:35","0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.0000238"
"0x2cf038813fe204ad9e0c9053c0d35d8cd035e5a01bee6b00b56bbc80b35f3d90","Success","Tx","Take","21975231","2025-03-04 18:10:59","0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00132039"
"0xf6a1ee20f8a896de553ddd81d53ce2e24fda999b11e1d9876d340f7a8383a789","Error in Txn","Tx","Take","20457212","2024-08-04 19:14:11","0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00067658"
"0x0f2145d3801f6f82e1fa94f38b0d78a0184bebeefe6c216718c6e1054aaa99ce","Success","Tx","Take","17937708","2023-08-17 23:07:59","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.09327408"
"0x4556fd194c4170e259733fc360a328c4a4d0932adf860330a65206963b001624","Success","Tx","Take","16750580","2023-03-03 21:15:47","0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.01068166"
"0xfcacffec58ca8f7410674af4458016ac138a991294d78d77bcd7ab96e5793ebc","Success","Tx","Take","16196897","2022-12-16 11:15:35","0x2C875e84F2f100562B44A3797Aed32Ffc162E91e"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00942755"
"0xeb1410e3d40f59457f3d57acc64330803665b9fac7629e9363ce57ca1a8af42c","Success","Tx","Take","15935678","2022-11-09 23:15:35","0xCcCEfA3A442fb16469e00C294752e8EB5e38b939"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.11368649"
"0x35ba20665e80309fa7646082c222f004241e0a123275401c9ade301efb5578b3","Success","Tx","Take","15930024","2022-11-09 4:15:23","0x55b7969dCE63163d92E8b88722c216EC46c041f3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.08531836"
"0x4771bd2780da20e337df44e6f26d6f0405f9da01429cd5549f7a8c1b76ac665b","Success","Tx","Take","15930023","2022-11-09 4:15:11","0xCcCEfA3A442fb16469e00C294752e8EB5e38b939"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.04175443"
"0x5b3a80b2f1d8eca2262cec66f8c54740e4cd98e82807d3eb3addeec3804152a9","Error in Txn","Tx","Take","14987417","2022-06-18 22:25:53","0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00517374"
"0x3765a9fa1b7126e0dc6562e6b62e158f7f5d049469df5636beef2e227b53dd7f","Success","Tx","Take","14987416","2022-06-18 22:24:34","0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.03584046"
"0x65d910d4f40e6e521a64c8a08449f2d92ff2a72346faf5d63ea58e470f1ed8bf","Error in Txn","Tx","Take","14987416","2022-06-18 22:24:34","0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.0073517"
"0xc0fb03a893f524e909c3b80b48bebfe9b9fbd4ff7f2fd3e5fcee2a54eab5a082","Success","Tx","Take","14987415","2022-06-18 22:24:11","0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.0321645"
"0xa7f95636884d47124176af617574edc5089d40774fc7d8f7f59c61c193538463","Success","Tx","Take","14987411","2022-06-18 22:22:08","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.02296982"
"0x3ae364663d1dd486057e9fec0ec397c26179fe2450f3b5c0a13803627db91762","Success","Tx","Take","14987411","2022-06-18 22:22:08","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.02341885"
"0x5278a12a182489f5a5dd85cfd5817fc5acb69b7d16bdb29a1f8218abe5ed869c","Success","Tx","Take","14987410","2022-06-18 22:21:38","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.0216204"
"0x3fae2041e848a9a120e12092711f4e933def37fd556d8fb43b954d68b00b8069","Error in Txn","Tx","Take","14987410","2022-06-18 22:21:38","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.0027339"
"0x3826ecfd12dc8628bab208bb960ea41628b244ba2dd3b0a68c9b97a8ebb53d64","Error in Txn","Tx","Take","14987402","2022-06-18 22:19:48","0x066d6053a177d1771c5806A1196549949C764a4B"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.02640921"
"0xe60b490adfbdccbe9aa85b7fda2abf2a5ffbd52c8c70a5710c5f15f4099bec57","Error in Txn","Tx","Take","14987193","2022-06-18 21:28:10","0x007e31eAae82c452b121d93248092Ba926d625eF"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.01089139"
"0xa3ad789758c5452a5e224b9a575a314767b7efa260c28a35478e7f661cd4df44","Error in Txn","Tx","Take","14987193","2022-06-18 21:28:10","0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.01081487"
"0x2e242a2edaf118fa2c4155b6f818c61caf02b78f3c223c00380085e0b76998ad","Success","Tx","Take","14987192","2022-06-18 21:27:48","0x007e31eAae82c452b121d93248092Ba926d625eF"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.09136792"
"0x6f7dbd671aec09747f2f2c30ad0baf8796999b6913718956e09ffe7c7fe9a24a","Success","Tx","Take","14987192","2022-06-18 21:27:48","0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.08002446"
"0xe072ec92e5bd26f6fe6f701ef033819d9f355fe03dce4e6079c0d4ef43600dd4","Success","Tx","Take","14987191","2022-06-18 21:27:38","0x007e31eAae82c452b121d93248092Ba926d625eF"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.10471784"
"0x7b781b26ebd776907834026d70354e3e84918acc974c81f299b8c230a7ae3a86","Success","Tx","Take","14987187","2022-06-18 21:26:57","0xCcCEfA3A442fb16469e00C294752e8EB5e38b939"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.72939252"
"0x8aa49e0a5a42004e37087f1d628e2b0ce8da2154374e130a04e791c214d42a39","Success","Tx","Take","14987186","2022-06-18 21:26:39","0x56E74C24E339af1d779B8651617a115327Eb5C0C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.06607139"
"0xe2c30349bf878a070b7a7d94336f1d26577a2c7231f799ca809ab30eb2721adb","Error in Txn","Tx","Take","14987186","2022-06-18 21:26:39","0x066d6053a177d1771c5806A1196549949C764a4B"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00842732"
"0x2dd97982b52135f1cd71101cc86cff10100704d209a66f63823dcc99094ee243","Success","Tx","Take","14987186","2022-06-18 21:26:39","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.07021441"
"0x1d69395b522551fed704fc5b6b634fcf3a819023e4112bbaeab05e64a50e3878","Error in Txn","Tx","Take","14987185","2022-06-18 21:26:34","0x066d6053a177d1771c5806A1196549949C764a4B"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.07226611"
"0xcf12bdc0c35561ec73a4706f57c84185f935552f007018c2dbe5871f95b8e71a","Error in Txn","Tx","Take","14986995","2022-06-18 20:38:07","0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00602662"
"0x4ab5639dc03901ed3f1162747682c7104cfbf0ff88efe94b36149eaa79c3f5cb","Success","Tx","Take","14986995","2022-06-18 20:38:07","0x007e31eAae82c452b121d93248092Ba926d625eF"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.05500137"
"0xa66a1cd142347e04cba7ce3a368d6a9fc045736f64a78c14631f1f36044d05d2","Success","Tx","Take","14986989","2022-06-18 20:37:48","0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.05604497"
"0x7835b5952447337aeffd1fcabaff2c87e029ec374143aaf00b274e1ffb54bd97","Success","Tx","Take","14986988","2022-06-18 20:37:46","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.05333804"
"0xd13f1aec032797970c31fea16cae0beed12cce4d268d40e0f29324f2ccaecaba","Success","Tx","Take","14986986","2022-06-18 20:37:27","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.05378243"
"0x00d8a1c6568bcba22c59518eef774eb7650f791ab09fd2e6f3d47d1998ca6b35","Success","Tx","Take","14986979","2022-06-18 20:36:35","0x066d6053a177d1771c5806A1196549949C764a4B"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.07380632"
"0x4c909a9ed249cbcb699162500f99e74b0f40ab5b6f84fafd6431a7c7bbe655b5","Error in Txn","Tx","Take","14986974","2022-06-18 20:35:45","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.0138751"
"0x2cf7e860d8ab2c774973afe7124d23da221c027966fac7270884053b4e27e3a4","Error in Txn","Tx","Take","14986202","2022-06-18 17:30:12","0xbE9064c409224D858F5fb12A5D3E8e417d9e28b7"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00274586"
"0xbe59808d944b2b9b7f3fb60c80824a12d5ebadf750c0f0ee7379f74dc9b6c262","Success","Tx","Take","14986202","2022-06-18 17:30:12","0xCcCEfA3A442fb16469e00C294752e8EB5e38b939"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.23721069"
"0x7e8747f68537c2eb99dce31aef0b86ecc8be0961d90d614ceabeb5e47dd31984","Error in Txn","Tx","Take","14984483","2022-06-18 10:30:04","0xCcCEfA3A442fb16469e00C294752e8EB5e38b939"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00555382"
"0x716e738aef63db9c85dc9f9dc88b6b70e426557e155544f0190640354d14aba7","Success","Tx","Take","14984483","2022-06-18 10:30:04","0x55b7969dCE63163d92E8b88722c216EC46c041f3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.09304175"
"0x1b69523df08d331618e6ddf0831a77c54259fd90b3d93a3723325d5166a3cf89","Error in Txn","Tx","Take","14984481","2022-06-18 10:29:52","0xB2E1284Fb685dbDcc4378cF5d4E9515679527a42"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00224396"
"0xeab3d45718ec6254efb95733985f4f87c8db380d8aebf680b7fd9b25f6672ae6","Error in Txn","Tx","Take","14984481","2022-06-18 10:29:52","0xCcCEfA3A442fb16469e00C294752e8EB5e38b939"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00562483"
"0x849963e51d12c08d6fe9eaf894961c2c5a9ac67f36bf0de49ca271dd6e9b22d0","Error in Txn","Tx","Take","14984480","2022-06-18 10:28:40","0xCcCEfA3A442fb16469e00C294752e8EB5e38b939"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00526131"
"0x0d73b67008ef120b3561f1461e49de21b9bbc05528a7109454b58411520c62c6","Success","Tx","Take","14984479","2022-06-18 10:28:39","0xCcCEfA3A442fb16469e00C294752e8EB5e38b939"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.02969831"
"0x446769c6a16532e6a9e8a6296bf1c4647108bc08da175e20eb27b3e0295cea0f","Success","Tx","Take","14984003","2022-06-18 8:32:01","0x55b7969dCE63163d92E8b88722c216EC46c041f3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.12541534"
"0xb849cf03900606c07f691f2734ba29ab25d110f132ff55b6c5cd81a18785f470","Error in Txn","Tx","Take","14984001","2022-06-18 8:31:09","0x55b7969dCE63163d92E8b88722c216EC46c041f3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.10929364"
"0x9587b5fa5cddb080d3ec2d95d137e28c153e45189fc95d9b21ca26e676f47fd8","Error in Txn","Tx","Take","14966818","2022-06-15 9:39:02","0xCcCEfA3A442fb16469e00C294752e8EB5e38b939"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00753489"
"0xb7a246126b72835b8764f638b0c93bad50c14d013587e5effe4a1f93ae0406d0","Success","Tx","Take","14966817","2022-06-15 9:38:40","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.052215"
"0xa8764223ed387dd032366f02dfb07c9fb59334f4e13f350096c07bdb90ce7e54","Error in Txn","Tx","Take","14966817","2022-06-15 9:38:40","0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.02287635"
"0xb2809550131d6f7b206695f0fef4925dad96ab5e8bfd3e42d1521e706f4e249c","Error in Txn","Tx","Take","14959601","2022-06-14 3:28:43","0x79AEbA95B3B6E3E9dF374f163a4AC1edbd6eC628"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00592874"
"0xf0b6725066ae60a16f3e4aeba8d58acdedc53ca1c2288134a1c51436978fd626","Error in Txn","Tx","Take","14959601","2022-06-14 3:28:43","0x99b02491Fd1A9a7A97a31d046767c08D5cCc9A1d"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00569529"
"0x954342718b5c473b545f2ea362043dd7d9503dcd9817bd4c3c1d353b59cd8760","Error in Txn","Tx","Take","14959600","2022-06-14 3:28:02","0xbE9064c409224D858F5fb12A5D3E8e417d9e28b7"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00658851"
"0x44090d7d33dc31cf8487dc7ea8f7fe0947be8b1a9fa36fdb56ed4162d292a0db","Success","Tx","Take","14959599","2022-06-14 3:27:51","0x55b7969dCE63163d92E8b88722c216EC46c041f3"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.14456077"
"0x6b74a07040d1f818c103ccf3fb94e50f07dd2c35746d908a35e2024d63342829","Success","Tx","Take","14959599","2022-06-14 3:27:51","0xbE9064c409224D858F5fb12A5D3E8e417d9e28b7"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.04598378"
"0x78e51d23e6d0e7762f76d9f501941bf32f3b5d2e2c8c4e3ae9793b15ccf33594","Error in Txn","Tx","Take","14959598","2022-06-14 3:27:42","0x99b02491Fd1A9a7A97a31d046767c08D5cCc9A1d"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.01486436"
"0x4adc693d021f739066de77ac1d55d88a3d0be097fc3e1ebd46f27b26100eb1a3","Success","Tx","Take","14959597","2022-06-14 3:26:36","0x42DbF634c256acd17beDDC1330488F1BEa7B8BDf"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.01370728"
"0xc4c2653fee8592e4e0d4d3285a87f831d465e46e1dcb33bac88a04f601b3a068","Error in Txn","Tx","Take","14959442","2022-06-14 2:42:35","0x99b02491Fd1A9a7A97a31d046767c08D5cCc9A1d"," ","0xc67963a226eddd77b91ad8c421630a1b0adff270"," Sky: MCD Clip ETH A","0","$0.00","Ethereum(ETH)","0.00849317"
